Nodes 1 -> 2,Inserts,DeleteMins,Updates,SiftUp (iterations),SiftDown (iterations),Duration
10-Heap,23947347,23947347,1712835,1203067,82330664,80880ms
5-Heap,23947347,23947347,1712871,2150936,108893981,72396ms
4-Heap,23947347,23947347,1712828,2667524,124658356,67212ms
3-Heap,23947347,23947347,1712869,3679047,150927286,70406ms
2-Heap,23947347,23947347,1712809,6788424,224355914,74184ms
,,,,,,
,,,,,,
,,,,,,
30-Iterations Average (US Graph),Inserts,DeleteMins,Updates,SiftUp (iterations),SiftDown (iterations),Duration
4-Heap,23947347,23947347,1717347,2694603,123436326,57383ms
,,,,,,
,,,,,,
100-Iteractions Average (Random Graph) - 4-Heap,Inserts,DeleteMins,Updates,SiftUp (iterations),SiftDown (iterations),Duration
1000 Nodes - 0.6 Edge Chance,1001,1001,8054,3395,2849,172ms
