Nodes 1 -> 2 (US Graph),n,m,r,i,d,u,K,Inserts,DeleteMins,Updates,SiftUp (iterations),SiftDown (iterations),Duration (ms),T/((n+m)log(n))
10-Heap,23.947.347,58.333.344,"0,228",1,1,"0,029",10,23.947.347,23.947.347,1.712.835,1.203.067,82.330.664,80.880,"0,0001332"
5-Heap,23.947.347,58.333.344,"0,212",1,1,"0,029",5,23.947.347,23.947.347,1.712.871,2.150.936,108.893.981,72.396,"0,0001192"
4-Heap,23.947.347,58.333.344,"0,209",1,1,"0,029",4,23.947.347,23.947.347,1.712.828,2.667.524,124.658.356,67.212,"0,0001107"
3-Heap,23.947.347,58.333.344,"0,202",1,1,"0,029",3,23.947.347,23.947.347,1.712.869,3.679.047,150.927.286,70.406,"0,0001160"
2-Heap,23.947.347,58.333.344,"0,190",1,1,"0,029",2,23.947.347,23.947.347,1.712.809,6.788.424,224.355.914,74.184,"0,0001222"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
30-Iterations Average (US Graph),n,m,r,i,d,u,K,Inserts,DeleteMins,Updates,SiftUp (iterations),SiftDown (iterations),Duration (ms),T/((n+m)log(n))
4-Heap,23.947.347,58.333.344,"0,207",1,1,"0,029",4,23.947.347,23.947.347,1.717.347,2.694.603,123.436.326,57.383,"0,0000945"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
20-Iteractions Average (Random Graph) - 4-Heap,n,m,r,i,d,u,K,Inserts,DeleteMins,Updates,SiftUp (iterations),SiftDown (iterations),Duration (ms),T/((n+m)log(n))
5000 Nodes - 0.4 Edge Chance,5.000,10.000.000,"0,149",1,1,"0,003",4,5.000,5.000,30.891,11.984,25.473,101,"0,0000027"
5000 Nodes - 0.3 Edge Chance,5.000,7.500.000,"0,153",1,1,"0,004",4,5.000,5.000,29.508,11.560,25.554,77,"0,0000028"
5000 Nodes - 0.2 Edge Chance,5.000,5.000.000,"0,158",1,1,"0,005",4,5.000,5.000,27.368,10.662,25.634,57,"0,0000031"
5000 Nodes - 0.1 Edge Chance,5.000,2.500.000,"0,169",1,1,"0,010",4,5.000,5.000,23.959,9.520,25.684,39,"0,0000042"
5000 Nodes - 0.05 Edge Chance,5.000,1.250.000,"0,182",1,1,"0,016",4,5.000,5.000,20.549,8.437,25.679,22,"0,0000047"
5000 Nodes - 0.01 Edge Chance,5.000,250.000,"0,229",1,1,"0,050",4,5.000,5.000,12.496,6.020,25.669,14,"0,0000148"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
20-Iteractions Average (Random Graph) - 4-Heap,n,m,r,i,d,u,K,Inserts,DeleteMins,Updates,SiftUp (iterations),SiftDown (iterations),Duration (ms),T/((n+m)log(n))
40000 Nodes - 0.01 Edge Chance,40.000,16.000.000,"0,169",1,1,"0,011",4,40.000,40.000,182.824,73.359,266.133,346,"0,0000047"
20000 Nodes - 0.01 Edge Chance,20.000,4.000.000,"0,185",1,1,"0,019",4,20.000,20.000,77.569,32.382,122.767,106,"0,0000061"
10000 Nodes - 0.01 Edge Chance,10.000,1.000.000,"0,205",1,1,"0,032",4,10.000,10.000,31.882,14.242,56.471,43,"0,0000106"
5000 Nodes   - 0.01 Edge Chance,5.000,250.000,"0,229",1,1,"0,050",4,5.000,5.000,12.496,6.020,25.669,14,"0,0000148"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
50-Iteractions Average (Random Graph) - 4-Heap,n,m,r,i,d,u,K,Inserts,DeleteMins,Updates,SiftUp (iterations),SiftDown (iterations),Duration (ms),T/((n+m)log(n))
2000 Nodes - 0.8 Edge Chance,2.000,3.200.000,"0,156",1,1,"0,004",4,2.000,2.000,11.888,4.710,8.911,28,"0,0000026"
1000 Nodes - 0.8 Edge Chance,1.000,800.000,"0,168",1,1,"0,007",4,1.000,1.000,5.270,2.096,3.999,7,"0,0000029"
2000 Nodes - 0.6 Edge Chance,2.000,2.400.000,"0,159",1,1,"0,005",4,2.000,2.000,11.358,4.433,8.938,20,"0,0000025"
1000 Nodes - 0.6 Edge Chance,1.000,600.000,"0,173",1,1,"0,008",4,1.000,1.000,5.009,2.018,4.011,6,"0,0000033"
2000 Nodes - 0.4 Edge Chance,2.000,1.600.000,"0,159",1,1,"0,007",4,2.000,2.000,11.358,4.433,8.938,20,"0,0000038"
1000 Nodes - 0.4 Edge Chance,1.000,400.000,"0,180",1,1,"0,011",4,1.000,1.000,4.526,1.836,4.014,7,"0,0000058"
